Stock,Beta,Alpha (Annualized),Actual Return (Annualized),Expected Return (CAPM)
BAJFINANCE.NS,1.9912665314026181,-0.17981125077438176,0.09615973227024922,0.2065823258464479
HDFCBANK.NS,1.0692992593465611,-0.061996290186156836,0.08619862150299086,0.14334396353488843
HINDUNILVR.NS,0.23176198963939673,0.01273838327598548,0.04485843506438757,0.08589671251364435
ICICIBANK.NS,1.3168950714144423,0.006040394608938764,0.18854977830700265,0.160326728699053
INFY.NS,0.7483089276572589,0.10283047461120974,0.20653911789422816,0.12132701834701029
RELIANCE.NS,0.9433935810663078,0.0008192897279302273,0.1315648478232987,0.13470800742072692
SBIN.NS,1.337602095887905,0.011291825942079628,0.1966710102468184,0.16174703759258557
TCS.NS,0.5529607926016997,0.07872707247360067,0.1553622848436592,0.10792795688793956
